Longitude,Latitude,Time,Temperature
13.41,52.52,2024-06-14T00:00,15.5
13.41,52.52,2024-06-14T01:00,13.9
13.41,52.52,2024-06-14T02:00,13.6
13.41,52.52,2024-06-14T03:00,13.0
13.41,52.52,2024-06-14T04:00,12.7
13.41,52.52,2024-06-14T05:00,12.6
13.41,52.52,2024-06-14T06:00,12.4
13.41,52.52,2024-06-14T07:00,12.1
13.41,52.52,2024-06-14T08:00,12.1
13.41,52.52,2024-06-14T09:00,12.2
13.41,52.52,2024-06-14T10:00,11.8
13.41,52.52,2024-06-14T11:00,11.6
13.41,52.52,2024-06-14T12:00,11.4
13.41,52.52,2024-06-14T13:00,11.4
13.41,52.52,2024-06-14T14:00,12.2
13.41,52.52,2024-06-14T15:00,13.2
13.41,52.52,2024-06-14T16:00,14.3
13.41,52.52,2024-06-14T17:00,15.4
13.41,52.52,2024-06-14T18:00,17.1
13.41,52.52,2024-06-14T19:00,18.6
13.41,52.52,2024-06-14T20:00,20.2
13.41,52.52,2024-06-14T21:00,21.9
13.41,52.52,2024-06-14T22:00,22.7
13.41,52.52,2024-06-14T23:00,22.8
13.41,52.52,2024-06-15T00:00,21.6
13.41,52.52,2024-06-15T01:00,19.1
13.41,52.52,2024-06-15T02:00,18.1
13.41,52.52,2024-06-15T03:00,16.4
13.41,52.52,2024-06-15T04:00,15.1
13.41,52.52,2024-06-15T05:00,14.5
13.41,52.52,2024-06-15T06:00,13.8
13.41,52.52,2024-06-15T07:00,13.2
13.41,52.52,2024-06-15T08:00,12.7
13.41,52.52,2024-06-15T09:00,12.2
13.41,52.52,2024-06-15T10:00,11.9
13.41,52.52,2024-06-15T11:00,11.6
13.41,52.52,2024-06-15T12:00,11.4
13.41,52.52,2024-06-15T13:00,11.7
13.41,52.52,2024-06-15T14:00,12.9
13.41,52.52,2024-06-15T15:00,14.3
13.41,52.52,2024-06-15T16:00,15.6
13.41,52.52,2024-06-15T17:00,17.3
13.41,52.52,2024-06-15T18:00,19.4
13.41,52.52,2024-06-15T19:00,21.8
13.41,52.52,2024-06-15T20:00,23.5
13.41,52.52,2024-06-15T21:00,23.6
13.41,52.52,2024-06-15T22:00,22.9
13.41,52.52,2024-06-15T23:00,21.7
13.41,52.52,2024-06-16T00:00,20.7
13.41,52.52,2024-06-16T01:00,20.1
13.41,52.52,2024-06-16T02:00,19.4
13.41,52.52,2024-06-16T03:00,17.5
13.41,52.52,2024-06-16T04:00,15.6
13.41,52.52,2024-06-16T05:00,14.6
13.41,52.52,2024-06-16T06:00,14.2
13.41,52.52,2024-06-16T07:00,13.6
13.41,52.52,2024-06-16T08:00,13.2
13.41,52.52,2024-06-16T09:00,12.9
13.41,52.52,2024-06-16T10:00,12.4
13.41,52.52,2024-06-16T11:00,12.0
13.41,52.52,2024-06-16T12:00,11.7
13.41,52.52,2024-06-16T13:00,12.1
13.41,52.52,2024-06-16T14:00,13.0
13.41,52.52,2024-06-16T15:00,14.4
13.41,52.52,2024-06-16T16:00,16.0
13.41,52.52,2024-06-16T17:00,17.8
13.41,52.52,2024-06-16T18:00,19.4
13.41,52.52,2024-06-16T19:00,21.2
13.41,52.52,2024-06-16T20:00,22.9
13.41,52.52,2024-06-16T21:00,23.7
13.41,52.52,2024-06-16T22:00,23.4
13.41,52.52,2024-06-16T23:00,22.3
13.41,52.52,2024-06-17T00:00,21.0
13.41,52.52,2024-06-17T01:00,19.9
13.41,52.52,2024-06-17T02:00,17.3
13.41,52.52,2024-06-17T03:00,15.6
13.41,52.52,2024-06-17T04:00,14.3
13.41,52.52,2024-06-17T05:00,14.2
13.41,52.52,2024-06-17T06:00,13.7
13.41,52.52,2024-06-17T07:00,13.4
13.41,52.52,2024-06-17T08:00,13.7
13.41,52.52,2024-06-17T09:00,12.9
13.41,52.52,2024-06-17T10:00,12.9
13.41,52.52,2024-06-17T11:00,12.7
13.41,52.52,2024-06-17T12:00,12.1
13.41,52.52,2024-06-17T13:00,11.9
13.41,52.52,2024-06-17T14:00,12.8
13.41,52.52,2024-06-17T15:00,14.2
13.41,52.52,2024-06-17T16:00,15.6
13.41,52.52,2024-06-17T17:00,17.4
13.41,52.52,2024-06-17T18:00,19.6
13.41,52.52,2024-06-17T19:00,20.3
13.41,52.52,2024-06-17T20:00,21.3
13.41,52.52,2024-06-17T21:00,22.0
13.41,52.52,2024-06-17T22:00,22.5
13.41,52.52,2024-06-17T23:00,23.6
13.41,52.52,2024-06-18T00:00,24.0
13.41,52.52,2024-06-18T01:00,23.4
13.41,52.52,2024-06-18T02:00,22.6
13.41,52.52,2024-06-18T03:00,21.4
13.41,52.52,2024-06-18T04:00,19.7
13.41,52.52,2024-06-18T05:00,19.0
13.41,52.52,2024-06-18T06:00,17.6
13.41,52.52,2024-06-18T07:00,16.4
13.41,52.52,2024-06-18T08:00,15.0
13.41,52.52,2024-06-18T09:00,13.5
13.41,52.52,2024-06-18T10:00,12.5
13.41,52.52,2024-06-18T11:00,11.8
13.41,52.52,2024-06-18T12:00,11.6
13.41,52.52,2024-06-18T13:00,12.5
13.41,52.52,2024-06-18T14:00,13.7
13.41,52.52,2024-06-18T15:00,14.9
13.41,52.52,2024-06-18T16:00,16.5
13.41,52.52,2024-06-18T17:00,17.4
13.41,52.52,2024-06-18T18:00,18.3
13.41,52.52,2024-06-18T19:00,20.1
13.41,52.52,2024-06-18T20:00,21.3
13.41,52.52,2024-06-18T21:00,21.5
13.41,52.52,2024-06-18T22:00,21.8
13.41,52.52,2024-06-18T23:00,21.4
13.41,52.52,2024-06-19T00:00,20.7
13.41,52.52,2024-06-19T01:00,17.3
13.41,52.52,2024-06-19T02:00,16.8
13.41,52.52,2024-06-19T03:00,15.5
13.41,52.52,2024-06-19T04:00,14.1
13.41,52.52,2024-06-19T05:00,13.3
13.41,52.52,2024-06-19T06:00,13.0
13.41,52.52,2024-06-19T07:00,12.7
13.41,52.52,2024-06-19T08:00,12.4
13.41,52.52,2024-06-19T09:00,12.1
13.41,52.52,2024-06-19T10:00,11.7
13.41,52.52,2024-06-19T11:00,11.4
13.41,52.52,2024-06-19T12:00,11.2
13.41,52.52,2024-06-19T13:00,11.6
13.41,52.52,2024-06-19T14:00,12.0
13.41,52.52,2024-06-19T15:00,12.6
13.41,52.52,2024-06-19T16:00,13.6
13.41,52.52,2024-06-19T17:00,14.1
13.41,52.52,2024-06-19T18:00,14.6
13.41,52.52,2024-06-19T19:00,15.1
13.41,52.52,2024-06-19T20:00,15.6
13.41,52.52,2024-06-19T21:00,15.7
13.41,52.52,2024-06-19T22:00,15.5
13.41,52.52,2024-06-19T23:00,15.3
13.41,52.52,2024-06-20T00:00,15.1
13.41,52.52,2024-06-20T01:00,13.3
13.41,52.52,2024-06-20T02:00,13.0
13.41,52.52,2024-06-20T03:00,12.6
13.41,52.52,2024-06-20T04:00,12.2
13.41,52.52,2024-06-20T05:00,12.2
13.41,52.52,2024-06-20T06:00,11.9
13.41,52.52,2024-06-20T07:00,11.8
13.41,52.52,2024-06-20T08:00,11.8
13.41,52.52,2024-06-20T09:00,11.9
13.41,52.52,2024-06-20T10:00,11.9
13.41,52.52,2024-06-20T11:00,11.9
13.41,52.52,2024-06-20T12:00,11.7
13.41,52.52,2024-06-20T13:00,10.7
13.41,52.52,2024-06-20T14:00,10.7
13.41,52.52,2024-06-20T15:00,11.2
13.41,52.52,2024-06-20T16:00,11.8
13.41,52.52,2024-06-20T17:00,12.8
13.41,52.52,2024-06-20T18:00,13.3
13.41,52.52,2024-06-20T19:00,13.7
13.41,52.52,2024-06-20T20:00,14.4
13.41,52.52,2024-06-20T21:00,15.3
13.41,52.52,2024-06-20T22:00,16.3
13.41,52.52,2024-06-20T23:00,16.5
13.41,52.52,2024-06-21T00:00,16.1
13.41,52.52,2024-06-21T01:00,13.5
13.41,52.52,2024-06-21T02:00,12.7
13.41,52.52,2024-06-21T03:00,12.0
13.41,52.52,2024-06-21T04:00,12.0
13.41,52.52,2024-06-21T05:00,12.0
13.41,52.52,2024-06-21T06:00,11.9
13.41,52.52,2024-06-21T07:00,11.8
13.41,52.52,2024-06-21T08:00,11.6
13.41,52.52,2024-06-21T09:00,11.7
13.41,52.52,2024-06-21T10:00,11.6
13.41,52.52,2024-06-21T11:00,11.6
13.41,52.52,2024-06-21T12:00,11.5
13.41,52.52,2024-06-21T13:00,11.6
13.41,52.52,2024-06-21T14:00,12.1
13.41,52.52,2024-06-21T15:00,12.7
13.41,52.52,2024-06-21T16:00,13.2
13.41,52.52,2024-06-21T17:00,14.2
13.41,52.52,2024-06-21T18:00,15.1
13.41,52.52,2024-06-21T19:00,15.6
13.41,52.52,2024-06-21T20:00,15.4
13.41,52.52,2024-06-21T21:00,15.9
13.41,52.52,2024-06-21T22:00,16.2
13.41,52.52,2024-06-21T23:00,16.1
13.41,52.52,2024-06-22T00:00,16.0
13.41,52.52,2024-06-22T01:00,14.9
13.41,52.52,2024-06-22T02:00,13.8
13.41,52.52,2024-06-22T03:00,12.8
13.41,52.52,2024-06-22T04:00,12.5
13.41,52.52,2024-06-22T05:00,12.8
13.41,52.52,2024-06-22T06:00,13.0
13.41,52.52,2024-06-22T07:00,12.8
13.41,52.52,2024-06-22T08:00,12.5
13.41,52.52,2024-06-22T09:00,12.2
13.41,52.52,2024-06-22T10:00,12.0
13.41,52.52,2024-06-22T11:00,11.8
13.41,52.52,2024-06-22T12:00,11.7
13.41,52.52,2024-06-22T13:00,11.3
13.41,52.52,2024-06-22T14:00,12.2
13.41,52.52,2024-06-22T15:00,13.3
13.41,52.52,2024-06-22T16:00,14.5
13.41,52.52,2024-06-22T17:00,16.2
13.41,52.52,2024-06-22T18:00,17.6
13.41,52.52,2024-06-22T19:00,18.5
13.41,52.52,2024-06-22T20:00,18.5
13.41,52.52,2024-06-22T21:00,17.7
13.41,52.52,2024-06-22T22:00,16.7
13.41,52.52,2024-06-22T23:00,16.6
13.41,52.52,2024-06-23T00:00,16.0
13.41,52.52,2024-06-23T01:00,15.4
13.41,52.52,2024-06-23T02:00,14.7
13.41,52.52,2024-06-23T03:00,14.0
13.41,52.52,2024-06-23T04:00,13.6
13.41,52.52,2024-06-23T05:00,13.6
13.41,52.52,2024-06-23T06:00,13.5
13.41,52.52,2024-06-23T07:00,13.4
13.41,52.52,2024-06-23T08:00,13.5
13.41,52.52,2024-06-23T09:00,13.2
13.41,52.52,2024-06-23T10:00,12.7
13.41,52.52,2024-06-23T11:00,12.3
13.41,52.52,2024-06-23T12:00,11.8
13.41,52.52,2024-06-23T13:00,11.5
13.41,52.52,2024-06-23T14:00,12.1
13.41,52.52,2024-06-23T15:00,13.3
13.41,52.52,2024-06-23T16:00,14.8
13.41,52.52,2024-06-23T17:00,15.8
13.41,52.52,2024-06-23T18:00,16.4
13.41,52.52,2024-06-23T19:00,16.8
13.41,52.52,2024-06-23T20:00,17.1
13.41,52.52,2024-06-23T21:00,16.8
13.41,52.52,2024-06-23T22:00,16.4
13.41,52.52,2024-06-23T23:00,16.0
13.41,52.52,2024-06-24T00:00,15.7
13.41,52.52,2024-06-24T01:00,15.0
13.41,52.52,2024-06-24T02:00,13.9
13.41,52.52,2024-06-24T03:00,13.1
13.41,52.52,2024-06-24T04:00,12.7
13.41,52.52,2024-06-24T05:00,12.8
13.41,52.52,2024-06-24T06:00,12.8
13.41,52.52,2024-06-24T07:00,12.6
13.41,52.52,2024-06-24T08:00,12.4
13.41,52.52,2024-06-24T09:00,12.1
13.41,52.52,2024-06-24T10:00,11.9
13.41,52.52,2024-06-24T11:00,11.7
13.41,52.52,2024-06-24T12:00,11.5
13.41,52.52,2024-06-24T13:00,11.9
13.41,52.52,2024-06-24T14:00,12.4
13.41,52.52,2024-06-24T15:00,13.5
13.41,52.52,2024-06-24T16:00,14.6
13.41,52.52,2024-06-24T17:00,15.5
13.41,52.52,2024-06-24T18:00,16.3
13.41,52.52,2024-06-24T19:00,17.1
13.41,52.52,2024-06-24T20:00,17.8
13.41,52.52,2024-06-24T21:00,17.9
13.41,52.52,2024-06-24T22:00,16.8
13.41,52.52,2024-06-24T23:00,15.9
13.41,52.52,2024-06-25T00:00,15.1
13.41,52.52,2024-06-25T01:00,14.8
13.41,52.52,2024-06-25T02:00,13.7
13.41,52.52,2024-06-25T03:00,12.5
13.41,52.52,2024-06-25T04:00,11.6
13.41,52.52,2024-06-25T05:00,11.8
13.41,52.52,2024-06-25T06:00,11.9
13.41,52.52,2024-06-25T07:00,11.9
13.41,52.52,2024-06-25T08:00,11.9
13.41,52.52,2024-06-25T09:00,11.9
13.41,52.52,2024-06-25T10:00,11.6
13.41,52.52,2024-06-25T11:00,11.3
13.41,52.52,2024-06-25T12:00,11.8
13.41,52.52,2024-06-25T13:00,13.4
13.41,52.52,2024-06-25T14:00,13.4
13.41,52.52,2024-06-25T15:00,14.4
13.41,52.52,2024-06-25T16:00,15.3
13.41,52.52,2024-06-25T17:00,16.1
13.41,52.52,2024-06-25T18:00,16.7
13.41,52.52,2024-06-25T19:00,17.4
13.41,52.52,2024-06-25T20:00,16.8
13.41,52.52,2024-06-25T21:00,16.6
13.41,52.52,2024-06-25T22:00,16.4
13.41,52.52,2024-06-25T23:00,15.7
13.41,52.52,2024-06-26T00:00,15.1
13.41,52.52,2024-06-26T01:00,14.3
13.41,52.52,2024-06-26T02:00,13.8
13.41,52.52,2024-06-26T03:00,12.9
13.41,52.52,2024-06-26T04:00,12.6
13.41,52.52,2024-06-26T05:00,12.3
13.41,52.52,2024-06-26T06:00,12.3
13.41,52.52,2024-06-26T07:00,12.1
13.41,52.52,2024-06-26T08:00,11.8
13.41,52.52,2024-06-26T09:00,11.8
13.41,52.52,2024-06-26T10:00,11.6
13.41,52.52,2024-06-26T11:00,11.6
13.41,52.52,2024-06-26T12:00,11.9
13.41,52.52,2024-06-26T13:00,11.6
13.41,52.52,2024-06-26T14:00,12.2
13.41,52.52,2024-06-26T15:00,12.8
13.41,52.52,2024-06-26T16:00,13.7
13.41,52.52,2024-06-26T17:00,14.4
13.41,52.52,2024-06-26T18:00,15.6
13.41,52.52,2024-06-26T19:00,17.3
13.41,52.52,2024-06-26T20:00,17.8
13.41,52.52,2024-06-26T21:00,18.2
13.41,52.52,2024-06-26T22:00,18.1
13.41,52.52,2024-06-26T23:00,17.4
13.41,52.52,2024-06-27T00:00,16.9
13.41,52.52,2024-06-27T01:00,15.5
13.41,52.52,2024-06-27T02:00,15.0
13.41,52.52,2024-06-27T03:00,14.2
13.41,52.52,2024-06-27T04:00,13.6
13.41,52.52,2024-06-27T05:00,13.7
13.41,52.52,2024-06-27T06:00,13.9
13.41,52.52,2024-06-27T07:00,13.7
13.41,52.52,2024-06-27T08:00,13.3
13.41,52.52,2024-06-27T09:00,13.1
13.41,52.52,2024-06-27T10:00,12.8
13.41,52.52,2024-06-27T11:00,12.4
13.41,52.52,2024-06-27T12:00,11.9
13.41,52.52,2024-06-27T13:00,12.0
13.41,52.52,2024-06-27T14:00,12.7
13.41,52.52,2024-06-27T15:00,14.0
13.41,52.52,2024-06-27T16:00,15.2
13.41,52.52,2024-06-27T17:00,16.5
13.41,52.52,2024-06-27T18:00,18.1
13.41,52.52,2024-06-27T19:00,19.5
13.41,52.52,2024-06-27T20:00,20.7
13.41,52.52,2024-06-27T21:00,21.5
13.41,52.52,2024-06-27T22:00,21.8
13.41,52.52,2024-06-27T23:00,21.3
13.41,52.52,2024-06-28T00:00,20.3
13.41,52.52,2024-06-28T01:00,18.3
13.41,52.52,2024-06-28T02:00,17.5
13.41,52.52,2024-06-28T03:00,15.8
13.41,52.52,2024-06-28T04:00,14.6
13.41,52.52,2024-06-28T05:00,14.0
13.41,52.52,2024-06-28T06:00,13.8
13.41,52.52,2024-06-28T07:00,13.6
13.41,52.52,2024-06-28T08:00,13.1
13.41,52.52,2024-06-28T09:00,12.6
13.41,52.52,2024-06-28T10:00,12.1
13.41,52.52,2024-06-28T11:00,11.7
13.41,52.52,2024-06-28T12:00,11.5
13.41,52.52,2024-06-28T13:00,12.3
13.41,52.52,2024-06-28T14:00,13.0
13.41,52.52,2024-06-28T15:00,14.3
13.41,52.52,2024-06-28T16:00,15.9
13.41,52.52,2024-06-28T17:00,17.4
13.41,52.52,2024-06-28T18:00,18.4
13.41,52.52,2024-06-28T19:00,18.9
13.41,52.52,2024-06-28T20:00,18.5
13.41,52.52,2024-06-28T21:00,18.2
13.41,52.52,2024-06-28T22:00,18.9
13.41,52.52,2024-06-28T23:00,19.7
